idChamber,price,fee,space(m2),sexe,availablity,asKey,asDesk,asChair,asBed,asClimatisation,asPrivateBasin,asTv,asStorage,asLan,asPrivateKitchen,asPrivateFridge,asPrivateShower,asPrivateToilet,asSunaccess,asSomethingMore,houseId,houseUrl,region,houseName,adress,longetide,latitude,medianPrice,medianFee,numberOfBed,nbShower,nbToilet,nbBath,nbKitchen,distanceToAdvanced Institute of Industrial Technology(km),distanceToAoyama Gakuin University(km),distanceToAsia University(km),distanceToBunka Gakuen University(km),distanceToBunkyo Gakuin University(km),distanceToChuo University(km),distanceToDaito Bunka University(km),distanceToGakushuin University(km),distanceToGakushuin Women's College(km),distanceToHitotsubashi University(km),distanceToHosei University(km),distanceToHoshi University(km),distanceToInternational College for Postgraduate Buddhist Studies(km),distanceToJapan Lutheran College(km),distanceToJapan Women's University(km),distanceToJuntendo University(km),distanceToKaetsu University(km),distanceToKeio University(km),distanceToKogakuin University(km),distanceToKokugakuin University(km),distanceToKokushikan University(km),distanceToKomazawa University(km),distanceToKunitachi College of Music(km),distanceToKyorin University(km),distanceToKyoritsu Women's University(km),distanceToMeiji Gakuin University(km),distanceToMeiji University(km),distanceToMeisei University(km),distanceToMejiro University(km),distanceToMusashi University(km),distanceToMusashino Academia Musicae(km),distanceToMusashino Art University(km),distanceToMusashino University(km),distanceToNational Graduate Institute for Policy Studies(km),distanceToNihon Bunka University(km),distanceToNihon University(km),distanceToNippon Medical School(km),distanceToNippon Sport Science University(km),distanceToOchanomizu University(km),distanceToOtsuma Women's University(km),distanceToRikkyo University(km),distanceToRissho University(km),distanceToSeijo University(km),distanceToSeikei University(km),distanceToSeisen University(km),distanceToSenshu University(km),distanceToShibaura Institute of Technology(km),distanceToShowa Pharmaceutical University(km),distanceToShowa University(km),distanceToShowa Women's University(km),distanceToSophia University(km),distanceToSugino Fashion College(km),distanceToTaisho University(km),distanceToTakachiho University(km),distanceToTakushoku University(km),distanceToTama Art University(km),distanceToTama University(km),distanceToTamagawa University(km),distanceToTeikyo University(km),distanceToThe University of Tokyo(km),distanceToToho Gakuen School of Music(km),distanceToToho University(km),distanceToTokai University(km),distanceToTokyo City University(km),distanceToTokyo College of Music(km),distanceToTokyo Denki University(km),distanceToTokyo Fuji University(km),distanceToTokyo Future University(km),distanceToTokyo Gakugei University(km),distanceToTokyo Institute of Technology(km),distanceToTokyo Junshin University(km),distanceToTokyo Kasei University(km),distanceToTokyo Kasei-Gakuin University(km),distanceToTokyo Medical and Dental University(km),distanceToTokyo Medical University(km),distanceToTokyo Metropolitan University(km),distanceToTokyo University of Agriculture(km),distanceToTokyo University of Agriculture and Technology(km),distanceToTokyo University of Foreign Studies(km),distanceToTokyo University of Marine Science and Technology(km),distanceToTokyo University of Science(km),distanceToTokyo University of Technology(km),distanceToTokyo University of the Arts(km),distanceToTokyo Woman's Christian University(km),distanceToTokyo Women's Medical University(km),distanceToTokyo Zokei University(km),distanceToToyo Gakuen University(km),distanceToToyo University(km),distanceToUniversity of the Sacred Heart(km),distanceToWaseda University(km),owner
S11,65000,12000,9.7,Female,Available,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,1989,https://tokyosharehouse.com//eng/house/detail/1989/,IkebukuroMejiroOtsuka,Casa de Kei Ikebukuro,4 Chome Ikebukuro Toshima-ku Tokyo,139.70889705267183,35.738630900000004,55000,12000,10,1,2,1,1,14.77,8.68,16.16,6.05,4.92,4.91,6.1,2.21,3.56,24.44,5.59,13.29,4.19,16.6,2.65,6.16,17.55,10.45,5.51,9.23,11.17,13.38,26.81,14.52,6.67,11.41,6.59,29.13,3.47,3.76,3.33,23.67,14.74,8.49,6.1,6.79,4.92,14.03,2.99,6.12,0.99,16.59,15.34,12.62,12.5,6.17,11.66,29.77,10.91,10.91,6.44,27.73,1.75,8.91,40.58,15.32,15.32,28.83,2.38,5.58,14.06,18.76,8.53,16.48,1.8,8.88,2.7,9.78,19.88,15.05,34.24,2.19,38.71,6.48,6.48,32.27,12.8,17.74,18.47,12.94,5.31,35.42,8.47,11.16,4.59,36.52,5.81,4.13,9.66,3.42,Orijign Co.Ltd
S23,60000,12000,7.5,Female,Available,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,1989,https://tokyosharehouse.com//eng/house/detail/1989/,IkebukuroMejiroOtsuka,Casa de Kei Ikebukuro,4 Chome Ikebukuro Toshima-ku Tokyo,139.70889705267183,35.738630900000004,55000,12000,10,1,2,1,1,14.77,8.68,16.16,6.05,4.92,4.91,6.1,2.21,3.56,24.44,5.59,13.29,4.19,16.6,2.65,6.16,17.55,10.45,5.51,9.23,11.17,13.38,26.81,14.52,6.67,11.41,6.59,29.13,3.47,3.76,3.33,23.67,14.74,8.49,6.1,6.79,4.92,14.03,2.99,6.12,0.99,16.59,15.34,12.62,12.5,6.17,11.66,29.77,10.91,10.91,6.44,27.73,1.75,8.91,40.58,15.32,15.32,28.83,2.38,5.58,14.06,18.76,8.53,16.48,1.8,8.88,2.7,9.78,19.88,15.05,34.24,2.19,38.71,6.48,6.48,32.27,12.8,17.74,18.47,12.94,5.31,35.42,8.47,11.16,4.59,36.52,5.81,4.13,9.66,3.42,Orijign Co.Ltd
S25,63000,12000,7.8,Female,Available,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,1989,https://tokyosharehouse.com//eng/house/detail/1989/,IkebukuroMejiroOtsuka,Casa de Kei Ikebukuro,4 Chome Ikebukuro Toshima-ku Tokyo,139.70889705267183,35.738630900000004,55000,12000,10,1,2,1,1,14.77,8.68,16.16,6.05,4.92,4.91,6.1,2.21,3.56,24.44,5.59,13.29,4.19,16.6,2.65,6.16,17.55,10.45,5.51,9.23,11.17,13.38,26.81,14.52,6.67,11.41,6.59,29.13,3.47,3.76,3.33,23.67,14.74,8.49,6.1,6.79,4.92,14.03,2.99,6.12,0.99,16.59,15.34,12.62,12.5,6.17,11.66,29.77,10.91,10.91,6.44,27.73,1.75,8.91,40.58,15.32,15.32,28.83,2.38,5.58,14.06,18.76,8.53,16.48,1.8,8.88,2.7,9.78,19.88,15.05,34.24,2.19,38.71,6.48,6.48,32.27,12.8,17.74,18.47,12.94,5.31,35.42,8.47,11.16,4.59,36.52,5.81,4.13,9.66,3.42,Orijign Co.Ltd
205,52000,13000,7.21,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2826,https://tokyosharehouse.com//eng/house/detail/2826/,IkebukuroMejiroOtsuka,Couverture Ikebukuro West,2-14-14MinaminagasakiToshima-kuTokyo,139.68368505483596,35.72468245,46500,11500,32,5,8,2,0,14.58,7.53,13.63,4.46,6.69,6.14,6.56,2.43,3.35,21.93,6.08,11.99,5.39,13.96,3.45,7.36,15.16,9.98,3.97,8.08,8.84,10.97,24.54,11.78,7.51,10.58,7.64,26.46,0.89,1.98,2.14,21.36,12.31,7.83,6.56,7.91,6.83,11.83,4.34,6.52,1.86,15.19,12.79,10.09,11.57,7.05,12.33,27.06,8.97,8.97,6.3,25.05,4.44,6.22,37.95,13.02,13.02,26.1,4.77,7.1,11.32,17.54,6.69,14.38,2.78,11.39,1.82,12.22,17.4,13.31,31.78,4.82,36.02,7.72,7.72,29.57,10.32,15.19,15.78,12.35,6.01,32.75,10.99,8.59,4.42,33.83,7.05,6.04,8.69,3.68,FOR.C Co. Ltd.
301-A,34000,10000,10.78,Male,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2826,https://tokyosharehouse.com//eng/house/detail/2826/,IkebukuroMejiroOtsuka,Couverture Ikebukuro West,2-14-14MinaminagasakiToshima-kuTokyo,139.68368505483596,35.72468245,46500,11500,32,5,8,2,0,14.58,7.53,13.63,4.46,6.69,6.14,6.56,2.43,3.35,21.93,6.08,11.99,5.39,13.96,3.45,7.36,15.16,9.98,3.97,8.08,8.84,10.97,24.54,11.78,7.51,10.58,7.64,26.46,0.89,1.98,2.14,21.36,12.31,7.83,6.56,7.91,6.83,11.83,4.34,6.52,1.86,15.19,12.79,10.09,11.57,7.05,12.33,27.06,8.97,8.97,6.3,25.05,4.44,6.22,37.95,13.02,13.02,26.1,4.77,7.1,11.32,17.54,6.69,14.38,2.78,11.39,1.82,12.22,17.4,13.31,31.78,4.82,36.02,7.72,7.72,29.57,10.32,15.19,15.78,12.35,6.01,32.75,10.99,8.59,4.42,33.83,7.05,6.04,8.69,3.68,FOR.C Co. Ltd.
301-B,34000,10000,10.78,Male,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2826,https://tokyosharehouse.com//eng/house/detail/2826/,IkebukuroMejiroOtsuka,Couverture Ikebukuro West,2-14-14MinaminagasakiToshima-kuTokyo,139.68368505483596,35.72468245,46500,11500,32,5,8,2,0,14.58,7.53,13.63,4.46,6.69,6.14,6.56,2.43,3.35,21.93,6.08,11.99,5.39,13.96,3.45,7.36,15.16,9.98,3.97,8.08,8.84,10.97,24.54,11.78,7.51,10.58,7.64,26.46,0.89,1.98,2.14,21.36,12.31,7.83,6.56,7.91,6.83,11.83,4.34,6.52,1.86,15.19,12.79,10.09,11.57,7.05,12.33,27.06,8.97,8.97,6.3,25.05,4.44,6.22,37.95,13.02,13.02,26.1,4.77,7.1,11.32,17.54,6.69,14.38,2.78,11.39,1.82,12.22,17.4,13.31,31.78,4.82,36.02,7.72,7.72,29.57,10.32,15.19,15.78,12.35,6.01,32.75,10.99,8.59,4.42,33.83,7.05,6.04,8.69,3.68,FOR.C Co. Ltd.
B104,49000,13000,7.21,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2826,https://tokyosharehouse.com//eng/house/detail/2826/,IkebukuroMejiroOtsuka,Couverture Ikebukuro West,2-14-14MinaminagasakiToshima-kuTokyo,139.68368505483596,35.72468245,46500,11500,32,5,8,2,0,14.58,7.53,13.63,4.46,6.69,6.14,6.56,2.43,3.35,21.93,6.08,11.99,5.39,13.96,3.45,7.36,15.16,9.98,3.97,8.08,8.84,10.97,24.54,11.78,7.51,10.58,7.64,26.46,0.89,1.98,2.14,21.36,12.31,7.83,6.56,7.91,6.83,11.83,4.34,6.52,1.86,15.19,12.79,10.09,11.57,7.05,12.33,27.06,8.97,8.97,6.3,25.05,4.44,6.22,37.95,13.02,13.02,26.1,4.77,7.1,11.32,17.54,6.69,14.38,2.78,11.39,1.82,12.22,17.4,13.31,31.78,4.82,36.02,7.72,7.72,29.57,10.32,15.19,15.78,12.35,6.01,32.75,10.99,8.59,4.42,33.83,7.05,6.04,8.69,3.68,FOR.C Co. Ltd.
B106,49000,13000,7.03,Both,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,2826,https://tokyosharehouse.com//eng/house/detail/2826/,IkebukuroMejiroOtsuka,Couverture Ikebukuro West,2-14-14MinaminagasakiToshima-kuTokyo,139.68368505483596,35.72468245,46500,11500,32,5,8,2,0,14.58,7.53,13.63,4.46,6.69,6.14,6.56,2.43,3.35,21.93,6.08,11.99,5.39,13.96,3.45,7.36,15.16,9.98,3.97,8.08,8.84,10.97,24.54,11.78,7.51,10.58,7.64,26.46,0.89,1.98,2.14,21.36,12.31,7.83,6.56,7.91,6.83,11.83,4.34,6.52,1.86,15.19,12.79,10.09,11.57,7.05,12.33,27.06,8.97,8.97,6.3,25.05,4.44,6.22,37.95,13.02,13.02,26.1,4.77,7.1,11.32,17.54,6.69,14.38,2.78,11.39,1.82,12.22,17.4,13.31,31.78,4.82,36.02,7.72,7.72,29.57,10.32,15.19,15.78,12.35,6.01,32.75,10.99,8.59,4.42,33.83,7.05,6.04,8.69,3.68,FOR.C Co. Ltd.
102-a,41000,10000,12.4,Female,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,3116,https://tokyosharehouse.com//eng/house/detail/3116/,IkebukuroMejiroOtsuka,Couverture KitaotsukaⅡ	,3KitaotsukaToshima-kuTokyo,139.714222,35.736156,53000,11500,14,2,2,1,0,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
102-b,43000,10000,12.4,Female,Available,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,3116,https://tokyosharehouse.com//eng/house/detail/3116/,IkebukuroMejiroOtsuka,Couverture KitaotsukaⅡ	,3KitaotsukaToshima-kuTokyo,139.714222,35.736156,53000,11500,14,2,2,1,0,14.32,8.41,16.57,5.9,4.36,4.38,6.62,1.97,3.26,24.86,5.12,13.02,3.66,16.97,2.23,5.62,18.0,10.05,5.38,8.96,11.16,13.39,27.29,14.82,6.15,11.07,6.05,29.48,3.67,4.23,3.84,24.13,15.17,8.13,6.62,6.25,4.37,13.97,2.47,5.65,1.18,16.32,15.74,13.03,12.17,5.65,11.14,29.94,10.78,10.78,6.03,28.08,1.41,9.08,40.96,15.29,15.29,29.02,2.6,5.02,14.26,18.46,8.4,16.38,1.46,8.44,2.64,9.32,20.31,14.86,34.67,2.26,39.05,5.94,5.94,32.6,12.84,18.15,18.81,12.55,4.81,35.77,8.03,11.55,4.24,36.86,5.27,3.58,9.34,3.04,FOR.C Co. Ltd.
